species,conservation_status,biomass,sensitivity_disturbance,dispersal_ability,growth_rate,rel_abundance
species_1,5,0.63,0.88,0.71,3.68,0.121919192
species_2,1,0.32,0.32,1,4.39,0.597325871
species_3,4,0.49,0.76,0.64,4.04,0.144344942
species_4,1,0.37,0.55,0.67,4.75,0.257575758
species_5,1,0.38,0.65,0.58,2.67,0.084021942
species_6,3,0.01,0.55,0.01,2.67,0.001712046
species_7,1,0.42,0.5,0.83,2.67,0.156309784
species_8,3,0.04,0.75,0.05,2.67,0.006277501
species_9,5,0.04,0.85,0.05,2.67,0.005538972
species_10,1,0.56,0.65,0.88,2.25,0.095420334
species_11,1,0.38,0.65,0.58,2.67,0.084021942
species_12,3,0.36,0.61,0.58,3.92,0.156546231
species_13,1,0.14,0.31,0.44,3.55,0.204076392
species_14,1,0.14,0.31,0.44,3.55,0.204076392
species_15,1,0.95,0.46,0.73,1.05,0.004474007
species_16,3,0.02,0.62,0.78,1.05,0.003546782
species_17,1,0.18,0.26,0.71,1.6,0.092384233
species_18,1,0.2,0.27,0.73,1.1,0.015244764
species_19,1,0.15,0.22,0.69,1.05,0.008842153
species_20,1,0.25,0.38,0.67,1.05,0.00497076
species_21,1,0.3,0.36,0.82,1.35,0.04495117
species_22,1,0.05,0.37,0.69,2.35,0.1419524
species_23,1,0.46,0.52,0.89,1.5,0.048252328
species_24,1,0.22,0.5,0.83,2.67,0.156309784
species_25,1,0.8,0.35,0.84,1.65,0.087960199
species_26,1,0.11,0.17,0.67,5.5,1
species_27,2,0.31,0.56,0.54,4.75,0.203891258
species_28,1,0.26,0.45,0.58,3.6,0.188951539
species_29,2,1,0.56,0.58,4.33,0.194466951
species_30,2,0.33,0.56,0.58,4.33,0.194466951